Unit,Floorplan,Bedrooms,Status,Current Rent,Lease Start,Lease End,PreleaseStart,VacantDays,Move-In Date,AmenityAdj
A101,S0,0,Occupied,1200,2024-01-15,2025-01-15,,0,2024-01-15,0
A102,S0,0,Vacant,1200,,,,45,2024-12-01,0
A103,S0,0,Occupied,1200,2024-02-01,2025-02-01,,0,2024-02-01,0
A104,S0,0,Occupied,1200,2024-03-01,2025-03-01,,0,2024-03-01,0
A105,S0,0,Occupied,1200,2024-04-01,2025-04-01,,0,2024-04-01,0
B201,A1,1,Occupied,1500,2024-01-15,2025-01-15,,0,2024-01-15,0
B202,A1,1,Vacant,1500,,,,30,2024-12-01,0
B203,A1,1,Occupied,1500,2024-02-01,2025-02-01,,0,2024-02-01,0
B204,A1,1,Occupied,1500,2024-03-01,2025-03-01,,0,2024-03-01,0
B205,A1,1,Occupied,1500,2024-04-01,2025-04-01,,0,2024-04-01,0
C301,B2,2,Occupied,1800,2024-01-15,2025-01-15,,0,2024-01-15,0
C302,B2,2,Vacant,1800,,,,60,2024-12-01,0
C303,B2,2,Occupied,1800,2024-02-01,2025-02-01,,0,2024-02-01,0
C304,B2,2,Occupied,1800,2024-03-01,2025-03-01,,0,2024-03-01,0
C305,B2,2,Occupied,1800,2024-04-01,2025-04-01,,0,2024-04-01,0

