Unit,Floorplan,Bedrooms,Status,Current Rent,Lease Start,Lease End,PreleaseStart,VacantDays,Move-In Date,AmenityAdj
101,S0 - Studio,0,Occupied,1285,2024-03-15,2025-03-15,,,,0
102,S0 - Studio,0,Occupied,1310,2024-06-01,2025-06-01,,,,25
103,S0 - Studio,0,Occupied (On-Notice),1295,2024-02-01,2025-02-28,,,,0
104,S0 - Studio,0,Occupied,1320,2024-08-15,2025-08-15,,,,35
105,S0 - Studio,0,Vacant,,,2025-01-20,,,5,0
106,S0 - Studio,0,Occupied,1305,2024-05-10,2025-12-10,,,,15
107,S0 - Studio,0,Occupied,1290,2024-01-15,2025-07-15,,,,0
108,S0 - Studio,0,Occupied,1330,2024-09-01,2025-09-01,,,,50
109,S0 - Studio,0,Occupied,1300,2024-04-20,2025-10-20,,,,10
110,S0 - Studio,0,Occupied,1315,2024-07-01,2025-07-01,,,,25
111,S0 - Studio,0,Occupied,1295,2024-02-28,2025-08-28,,,,0
112,S0 - Studio,0,Occupied (On-Notice),1325,2024-10-15,2025-03-15,,,,40
113,S0 - Studio,0,Occupied,1300,2024-03-01,2025-09-01,,,,10
114,S0 - Studio,0,Occupied,1310,2024-06-15,2025-12-15,,,,20
115,S0 - Studio,0,Occupied,1285,2024-01-01,2025-07-01,,,,0
116,S0 - Studio,0,Occupied,1320,2024-08-01,2026-02-01,,,,35
117,S0 - Studio,0,Occupied,1305,2024-05-20,2025-11-20,,,,15
118,S0 - Studio,0,Vacant,,,2025-01-15,,,10,0
119,S0 - Studio,0,Occupied,1315,2024-07-15,2026-01-15,,,,25
120,S0 - Studio,0,Occupied,1295,2024-02-15,2025-08-15,,,,0
121,S0 - Studio,0,Occupied,1300,2024-04-01,2025-10-01,,,,10
122,S0 - Studio,0,Occupied,1325,2024-09-15,2026-03-15,,,,40
123,S0 - Studio,0,Occupied,1310,2024-06-20,2025-12-20,,,,20
124,S0 - Studio,0,Occupied,1290,2024-01-10,2025-07-10,,,,0
125,S0 - Studio,0,Occupied,1320,2024-08-10,2026-02-10,,,,35
126,S0 - Studio,0,Occupied (On-Notice),1305,2024-05-25,2025-02-25,,,,15
127,S0 - Studio,0,Occupied,1315,2024-07-20,2026-01-20,,,,25
128,S0 - Studio,0,Occupied,1300,2024-04-10,2025-10-10,,,,10
129,S0 - Studio,0,Occupied,1330,2024-10-01,2026-04-01,,,,50
130,S0 - Studio,0,Occupied,1295,2024-03-05,2025-09-05,,,,0
131,S0 - Studio,0,Occupied,1310,2024-06-25,2025-12-25,,,,20
132,S0 - Studio,0,Occupied,1285,2024-01-20,2025-07-20,,,,0
133,S0 - Studio,0,Occupied,1320,2024-08-20,2026-02-20,,,,35
134,S0 - Studio,0,Occupied,1305,2024-05-30,2025-11-30,,,,15
